Período,Tipo de vehículo,Combustible,Unidades
2005,Camiones y furgonetas ,Gasolina,2000
2005,Autobuses ,Gasolina,1
2005,Motocicletas ,Gasóleo,6
2005,Otros vehículos ,Gasóleo,440
2005,Motocicletas ,Gasolina,3215
2005,Autobuses ,Gasóleo,88
2005,Remolques y semirremolques ,Gasóleo,0
2005,Otros vehículos ,Gasolina,156
2005,Camiones y furgonetas ,Gasóleo,30822
2005,Remolques y semirremolques ,Gasolina,2
2005,Tractores industriales ,Gasóleo,160
2005,Tractores industriales ,Gasolina,5
2005,Turismos ,Gasolina,37992
2005,Tractores industriales ,Resto de tipos de combustibles,0
2005,Camiones y furgonetas ,Resto de tipos de combustibles,5
2005,Motocicletas ,Resto de tipos de combustibles,1
2005,Otros vehículos ,Resto de tipos de combustibles,34
2005,Turismos ,Gasóleo,78965
2005,Autobuses ,Resto de tipos de combustibles,0
2005,Remolques y semirremolques ,Resto de tipos de combustibles,412
2005,Turismos ,Resto de tipos de combustibles,13
2006,Camiones y furgonetas ,Gasolina,1280
2006,Autobuses ,Gasolina,2
2006,Motocicletas ,Gasóleo,6
2006,Otros vehículos ,Gasóleo,486
2006,Motocicletas ,Gasolina,3626
2006,Autobuses ,Gasóleo,99
2006,Remolques y semirremolques ,Gasóleo,0
2006,Otros vehículos ,Gasolina,184
2006,Camiones y furgonetas ,Gasóleo,11024
2006,Remolques y semirremolques ,Gasolina,1
2006,Tractores industriales ,Gasóleo,191
2006,Tractores industriales ,Gasolina,2
2006,Turismos ,Gasolina,34130
2006,Tractores industriales ,Resto de tipos de combustibles,0
2006,Camiones y furgonetas ,Resto de tipos de combustibles,1
2006,Motocicletas ,Resto de tipos de combustibles,1
2006,Otros vehículos ,Resto de tipos de combustibles,35
2006,Turismos ,Gasóleo,56480
2006,Autobuses ,Resto de tipos de combustibles,0
2006,Remolques y semirremolques ,Resto de tipos de combustibles,431
2006,Turismos ,Resto de tipos de combustibles,10
2007,Camiones y furgonetas ,Gasolina,1269
2007,Autobuses ,Gasolina,2
2007,Motocicletas ,Gasóleo,6
2007,Otros vehículos ,Gasóleo,511
2007,Motocicletas ,Gasolina,4163
2007,Autobuses ,Gasóleo,108
2007,Remolques y semirremolques ,Gasóleo,0
2007,Otros vehículos ,Gasolina,196
2007,Camiones y furgonetas ,Gasóleo,12167
2007,Remolques y semirremolques ,Gasolina,1
2007,Tractores industriales ,Gasóleo,180
2007,Tractores industriales ,Gasolina,2
2007,Turismos ,Gasolina,33185
2007,Tractores industriales ,Resto de tipos de combustibles,0
2007,Camiones y furgonetas ,Resto de tipos de combustibles,1
2007,Motocicletas ,Resto de tipos de combustibles,1
2007,Otros vehículos ,Resto de tipos de combustibles,39
2007,Turismos ,Gasóleo,61930
2007,Autobuses ,Resto de tipos de combustibles,0
2007,Remolques y semirremolques ,Resto de tipos de combustibles,485
2007,Turismos ,Resto de tipos de combustibles,10
2008,Camiones y furgonetas ,Gasolina,1215
2008,Autobuses ,Gasolina,1
2008,Motocicletas ,Gasóleo,6
2008,Otros vehículos ,Gasóleo,566
2008,Motocicletas ,Gasolina,4492
2008,Autobuses ,Gasóleo,101
2008,Remolques y semirremolques ,Gasóleo,0
2008,Otros vehículos ,Gasolina,194
2008,Camiones y furgonetas ,Gasóleo,15176
2008,Remolques y semirremolques ,Gasolina,1
2008,Tractores industriales ,Gasóleo,188
2008,Tractores industriales ,Gasolina,2
2008,Turismos ,Gasolina,31336
2008,Tractores industriales ,Resto de tipos de combustibles,0
2008,Camiones y furgonetas ,Resto de tipos de combustibles,1
2008,Motocicletas ,Resto de tipos de combustibles,2
2008,Otros vehículos ,Resto de tipos de combustibles,52
2008,Turismos ,Gasóleo,63354
2008,Autobuses ,Resto de tipos de combustibles,0
2008,Remolques y semirremolques ,Resto de tipos de combustibles,489
2008,Turismos ,Resto de tipos de combustibles,11
2009,Camiones y furgonetas ,Gasolina,1260
2009,Autobuses ,Gasolina,1
2009,Motocicletas ,Gasóleo,6
2009,Otros vehículos ,Gasóleo,588
2009,Motocicletas ,Gasolina,4762
2009,Autobuses ,Gasóleo,97
2009,Remolques y semirremolques ,Gasóleo,0
2009,Otros vehículos ,Gasolina,203
2009,Camiones y furgonetas ,Gasóleo,17735
2009,Remolques y semirremolques ,Gasolina,0
2009,Tractores industriales ,Gasóleo,202
2009,Tractores industriales ,Gasolina,2
2009,Turismos ,Gasolina,28612
2009,Tractores industriales ,Resto de tipos de combustibles,0
2009,Camiones y furgonetas ,Resto de tipos de combustibles,1
2009,Motocicletas ,Resto de tipos de combustibles,2
2009,Otros vehículos ,Resto de tipos de combustibles,76
2009,Turismos ,Gasóleo,62211
2009,Autobuses ,Resto de tipos de combustibles,0
2009,Remolques y semirremolques ,Resto de tipos de combustibles,457
2009,Turismos ,Resto de tipos de combustibles,17
2010,Camiones y furgonetas ,Gasolina,1270
2010,Autobuses ,Gasolina,1
2010,Motocicletas ,Gasóleo,7
2010,Otros vehículos ,Gasóleo,575
2010,Motocicletas ,Gasolina,4929
2010,Autobuses ,Gasóleo,131
2010,Remolques y semirremolques ,Gasóleo,0
2010,Otros vehículos ,Gasolina,195
2010,Camiones y furgonetas ,Gasóleo,22874
2010,Remolques y semirremolques ,Gasolina,0
2010,Tractores industriales ,Gasóleo,159
2010,Tractores industriales ,Gasolina,2
2010,Turismos ,Gasolina,28903
2010,Tractores industriales ,Resto de tipos de combustibles,0
2010,Camiones y furgonetas ,Resto de tipos de combustibles,12
2010,Motocicletas ,Resto de tipos de combustibles,7
2010,Otros vehículos ,Resto de tipos de combustibles,81
